difficulty,layout,error_type,count
easy,multi,correct,565
easy,multi,length_error,26
easy,multi,multi_char_error,7
easy,multi,single_char_error,8
easy,single,correct,628
easy,single,length_error,16
easy,single,multi_char_error,5
easy,single,order_error,3
easy,single,single_char_error,11
easy,vertical,correct,296
easy,vertical,length_error,7
hard,multi,correct,418
hard,multi,length_error,166
hard,multi,multi_char_error,63
hard,multi,order_error,2
hard,multi,single_char_error,46
hard,single,correct,117
hard,single,length_error,41
hard,single,multi_char_error,26
hard,single,single_char_error,20
hard,vertical,correct,104
hard,vertical,length_error,3
hard,vertical,multi_char_error,2
hard,vertical,single_char_error,1
middle,multi,correct,2105
middle,multi,length_error,296
middle,multi,multi_char_error,57
middle,multi,order_error,10
middle,multi,single_char_error,78
middle,single,correct,942
middle,single,length_error,85
middle,single,multi_char_error,69
middle,single,order_error,3
middle,single,single_char_error,76
middle,vertical,correct,551
middle,vertical,length_error,30
middle,vertical,single_char_error,1
