vocabulary_type,difficulty,error_type,count
IV,easy,correct,1260
IV,easy,length_error,16
IV,easy,multi_char_error,4
IV,easy,order_error,1
IV,easy,single_char_error,11
IV,hard,correct,530
IV,hard,length_error,101
IV,hard,multi_char_error,54
IV,hard,single_char_error,43
IV,middle,correct,2955
IV,middle,length_error,170
IV,middle,multi_char_error,58
IV,middle,order_error,6
IV,middle,single_char_error,68
OOV,easy,correct,229
OOV,easy,length_error,33
OOV,easy,multi_char_error,8
OOV,easy,order_error,2
OOV,easy,single_char_error,8
OOV,hard,correct,109
OOV,hard,length_error,109
OOV,hard,multi_char_error,37
OOV,hard,order_error,2
OOV,hard,single_char_error,24
OOV,middle,correct,643
OOV,middle,length_error,241
OOV,middle,multi_char_error,68
OOV,middle,order_error,7
OOV,middle,single_char_error,87
