position,accuracy,correct,total
0,96.83%,6666,6884
1,95.19%,6553,6884
2,95.52%,6499,6804
3,96.49%,6408,6641
4,95.61%,6317,6607
5,93.74%,6083,6489
6,92.49%,5779,6248
7,91.43%,5536,6055
8,90.56%,4645,5129
9,90.86%,4184,4605
10,89.78%,3891,4334
11,89.01%,3489,3920
12,87.88%,3096,3523
13,87.29%,2865,3282
14,87.00%,2603,2992
15,85.73%,2210,2578
16,85.08%,1990,2339
17,84.86%,1827,2153
18,84.37%,1641,1945
19,82.80%,1309,1581
20,81.24%,1087,1338
21,76.74%,706,920
22,74.12%,567,765
23,68.57%,349,509
24,63.04%,249,395
25,61.11%,209,342
26,61.24%,188,307
27,61.40%,167,272
28,63.04%,145,230
29,63.82%,127,199
30,65.29%,111,170
31,64.63%,95,147
32,62.99%,80,127
33,62.50%,60,96
34,62.50%,50,80
35,60.56%,43,71
36,53.49%,23,43
37,64.52%,20,31
38,75.00%,6,8
39,100.00%,1,1
40,100.00%,1,1
41,100.00%,1,1
42,100.00%,1,1
43,100.00%,1,1
44,100.00%,1,1
45,100.00%,1,1
46,100.00%,1,1
