gt_length,pred_length,count
2,2,80
2,3,5
2,6,1
2,8,3
2,10,1
3,2,2
3,3,156
3,8,1
3,11,2
3,13,1
4,3,1
4,4,33
4,5,3
4,8,1
4,10,1
4,15,1
4,19,1
5,4,1
5,5,114
5,6,3
5,7,1
5,8,1
5,13,2
6,5,4
6,6,233
6,7,3
6,8,1
6,9,4
6,11,1
6,12,1
6,14,2
6,15,1
6,18,1
6,22,1
7,5,3
7,6,10
7,7,176
7,8,8
7,9,1
7,10,2
7,13,3
7,14,1
7,15,1
7,16,1
7,17,1
7,18,2
7,20,1
7,21,1
7,23,2
8,2,1
8,4,1
8,6,3
8,7,8
8,8,898
8,9,8
8,10,1
8,11,6
8,13,3
8,14,2
8,15,1
8,16,2
8,18,2
8,19,6
8,20,2
8,21,2
8,22,3
8,24,3
9,3,1
9,4,1
9,7,2
9,8,10
9,9,497
9,10,8
9,11,1
9,12,10
9,14,3
9,17,1
9,18,1
9,19,1
9,21,4
9,23,2
9,24,3
10,2,2
10,4,1
10,5,1
10,7,1
10,8,5
10,9,4
10,10,244
10,11,8
10,12,1
10,23,4
11,4,1
11,6,1
11,8,1
11,10,14
11,11,379
11,12,4
11,15,1
12,5,2
12,6,1
12,8,1
12,9,1
12,10,2
12,11,5
12,12,369
12,14,2
12,17,1
12,18,1
13,3,2
13,5,1
13,6,1
13,7,1
13,8,1
13,11,3
13,12,3
13,13,220
13,14,3
13,15,1
13,16,1
13,23,1
14,3,1
14,6,4
14,7,2
14,9,1
14,11,1
14,12,2
14,13,9
14,14,257
14,15,2
14,16,1
14,20,1
15,2,1
15,3,1
15,6,1
15,10,1
15,11,3
15,13,4
15,14,4
15,15,391
15,16,5
15,18,2
15,19,1
15,21,1
16,6,4
16,7,2
16,8,1
16,11,1
16,12,1
16,14,1
16,15,5
16,16,214
16,17,4
16,18,2
16,19,1
16,20,1
16,22,1
17,5,1
17,6,1
17,8,3
17,10,1
17,13,1
17,14,4
17,15,3
17,16,4
17,17,161
17,18,2
17,19,2
17,22,1
17,23,2
18,6,3
18,7,3
18,8,1
18,12,1
18,14,3
18,15,2
18,16,1
18,17,7
18,18,174
18,19,3
18,20,4
18,21,1
18,23,1
19,6,1
19,7,2
19,8,6
19,9,1
19,11,1
19,16,2
19,17,1
19,18,7
19,19,328
19,20,4
19,21,2
19,22,1
19,23,1
20,7,2
20,8,2
20,16,3
20,17,1
20,19,3
20,20,219
20,21,5
20,23,1
20,24,1
21,5,1
21,7,1
21,8,4
21,9,5
21,10,1
21,11,1
21,14,1
21,19,5
21,20,7
21,21,376
21,22,2
21,24,1
22,7,1
22,8,3
22,9,2
22,15,1
22,17,1
22,21,4
22,22,134
22,23,3
23,7,1
23,8,5
23,9,2
23,10,1
23,13,1
23,16,1
23,17,3
23,20,1
23,21,2
23,22,6
23,23,216
23,24,1
24,12,2
24,17,1
24,19,1
24,20,1
24,21,1
24,22,2
24,24,97
