image_id,gt_len,pred_text_len,pred_len_from_head,correct_or_not,eos_type,len_head_correct,len_diff_text,len_diff_head
1,17,17,17,1,none,1,0,0
2,12,12,12,1,none,1,0,0
3,13,13,13,1,none,1,0,0
4,18,18,18,1,none,1,0,0
5,12,12,11,1,none,0,0,-1
6,10,10,10,1,none,1,0,0
7,12,12,12,1,none,1,0,0
8,12,12,12,1,none,1,0,0
9,21,21,21,1,none,1,0,0
10,8,8,8,1,none,1,0,0
11,8,8,8,1,none,1,0,0
12,8,8,8,1,none,1,0,0
13,8,8,8,1,none,1,0,0
14,21,21,21,1,none,1,0,0
15,21,21,21,1,none,1,0,0
16,21,21,21,1,none,1,0,0
17,21,21,21,1,none,1,0,0
18,23,23,23,1,none,1,0,0
19,23,23,23,1,none,1,0,0
20,9,9,9,1,none,1,0,0
21,19,19,19,1,none,1,0,0
22,8,8,8,1,none,1,0,0
23,8,8,8,1,none,1,0,0
24,8,8,8,1,none,1,0,0
25,8,8,8,1,none,1,0,0
26,8,8,8,1,none,1,0,0
27,8,8,8,1,none,1,0,0
28,23,23,23,1,none,1,0,0
29,18,18,18,1,none,1,0,0
30,19,19,19,1,none,1,0,0
31,19,19,19,1,none,1,0,0
32,15,15,15,1,none,1,0,0
33,22,22,22,1,none,1,0,0
34,15,15,15,1,none,1,0,0
35,17,17,17,1,none,1,0,0
36,21,21,23,1,none,0,0,2
37,19,19,17,0,none,0,0,-2
38,17,17,17,1,none,1,0,0
39,20,20,20,1,none,1,0,0
40,20,20,20,1,none,1,0,0
41,22,22,18,1,none,0,0,-4
42,23,23,23,1,none,1,0,0
43,23,23,25,1,none,0,0,2
44,18,18,18,1,none,1,0,0
45,14,14,14,1,none,1,0,0
46,10,10,10,1,none,1,0,0
47,11,11,11,1,none,1,0,0
48,11,11,11,1,none,1,0,0
49,8,8,8,0,none,1,0,0
50,11,11,11,1,none,1,0,0
51,15,15,15,1,none,1,0,0
52,20,20,21,1,none,0,0,1
53,8,8,8,1,none,1,0,0
54,10,10,10,1,none,1,0,0
55,8,8,8,1,none,1,0,0
56,21,21,21,0,none,1,0,0
57,20,20,20,1,none,1,0,0
58,19,19,19,1,none,1,0,0
59,18,18,18,1,none,1,0,0
60,10,5,7,0,eos_early,0,-5,-3
61,19,19,19,1,none,1,0,0
62,18,18,18,1,none,1,0,0
63,10,10,10,1,none,1,0,0
64,10,10,10,1,none,1,0,0
65,11,11,11,1,none,1,0,0
66,15,15,15,1,none,1,0,0
67,19,19,19,1,none,1,0,0
68,19,19,19,1,none,1,0,0
69,20,20,21,1,none,0,0,1
70,14,14,13,1,none,0,0,-1
71,12,12,12,1,none,1,0,0
72,13,13,13,1,none,1,0,0
73,14,14,14,1,none,1,0,0
74,17,17,17,1,none,1,0,0
75,14,14,14,1,none,1,0,0
76,14,14,14,1,none,1,0,0
77,14,14,14,1,none,1,0,0
78,16,16,16,1,none,1,0,0
79,17,17,17,1,none,1,0,0
80,17,17,17,1,none,1,0,0
81,17,17,17,1,none,1,0,0
82,18,18,18,1,none,1,0,0
83,16,16,16,1,none,1,0,0
84,5,5,5,1,none,1,0,0
85,5,5,5,1,none,1,0,0
86,5,5,5,1,none,1,0,0
87,14,14,14,1,none,1,0,0
