image_id,gt_len,pred_text_len,pred_len_from_head,is_correct
1,17,17,17,1
2,12,12,12,1
3,13,13,13,1
4,18,18,18,1
5,12,12,11,1
6,10,10,10,1
7,12,12,12,1
8,12,12,12,1
9,21,21,21,1
10,8,8,8,1
11,8,8,8,1
12,8,8,8,1
13,8,8,8,1
14,21,21,21,1
15,21,21,21,1
16,21,21,21,1
17,21,21,21,1
18,23,23,23,1
19,23,23,23,1
20,9,9,9,1
21,19,19,19,1
22,8,8,8,1
23,8,8,8,1
24,8,8,8,1
25,8,8,8,1
26,8,8,8,1
27,8,8,8,1
28,23,23,23,1
29,18,18,18,1
30,19,19,19,1
31,19,19,19,1
32,15,15,15,1
33,22,22,22,1
34,15,15,15,1
35,17,17,17,1
36,21,21,23,1
37,19,19,17,0
38,17,17,17,1
39,20,20,20,1
40,20,20,20,1
41,22,22,18,1
42,23,23,23,1
43,23,23,25,1
44,18,18,18,1
45,14,14,14,1
46,10,10,10,1
47,11,11,11,1
48,11,11,11,1
49,8,8,8,0
50,11,11,11,1
51,15,15,15,1
52,20,20,21,1
53,8,8,8,1
54,10,10,10,1
55,8,8,8,1
56,21,21,21,0
57,20,20,20,1
58,19,19,19,1
59,18,18,18,1
60,10,5,7,0
61,19,19,19,1
62,18,18,18,1
63,10,10,10,1
64,10,10,10,1
65,11,11,11,1
66,15,15,15,1
67,19,19,19,1
68,19,19,19,1
69,20,20,21,1
70,14,14,13,1
71,12,12,12,1
72,13,13,13,1
73,14,14,14,1
74,17,17,17,1
75,14,14,14,1
76,14,14,14,1
77,14,14,14,1
78,16,16,16,1
79,17,17,17,1
80,17,17,17,1
81,17,17,17,1
82,18,18,18,1
83,16,16,16,1
84,5,5,5,1
85,5,5,5,1
86,5,5,5,1
87,14,14,14,1
88,19,19,19,1
89,11,11,11,1
90,11,11,13,1
91,14,14,16,1
92,10,10,10,1
93,12,12,12,1
94,6,6,6,1
95,16,16,16,1
96,10,10,10,1
97,18,18,20,1
98,18,19,20,0
99,13,13,13,1
100,12,12,12,1
101,18,18,18,1
102,17,17,17,1
103,30,30,30,1
104,21,21,21,1
105,21,21,21,1
106,9,9,9,1
107,11,11,12,1
108,12,12,12,1
109,20,20,20,1
110,10,10,9,1
111,10,10,10,1
112,15,15,15,1
113,16,16,16,1
114,14,14,14,1
115,12,12,12,1
116,13,13,13,1
117,15,15,15,1
118,8,8,8,1
119,11,11,11,1
120,15,15,15,1
121,15,15,15,1
122,17,17,17,1
123,12,12,12,1
124,16,16,16,1
125,16,16,16,1
126,16,16,16,1
127,16,16,16,1
128,16,16,16,1
129,17,17,17,1
130,11,11,12,1
131,17,17,17,1
132,7,7,7,1
133,21,21,22,1
134,11,11,11,1
135,11,11,11,1
