image_id,gt_text,pred_text,gt_len,pred_text_len,is_correct,pred_len_from_head
1,鲁菏泽货0846LUHEZEHUO,鲁菏泽货0846LUHEZEHUO,17,17,True,17
2,万顺668WANSHUN,万顺668WANSHUN,12,12,True,12
3,兴顺199XINGSHUN,兴顺199XINGSHUN,13,13,True,13
4,合肥武运1588HEFEIWUYUN,合肥武运1588HEFEIWUYUN,18,18,True,18
5,天泰666TIANTAI,天泰666TIANTAI,12,12,True,11
6,天马88TIANMA,天马88TIANMA,10,10,True,10
7,家豪1688JIAHAO,家豪1688JIAHAO,12,12,True,12
8,永安1688YONGAN,永安1688YONGAN,12,12,True,12
9,浙上虞货0317ZHESHANGYUHUO,浙上虞货0317ZHESHANGYUHUO,21,21,True,21
10,浙上虞货0367,浙上虞货0367,8,8,True,8
11,浙上虞货0677,浙上虞货0677,8,8,True,8
12,浙上虞货0688,浙上虞货0688,8,8,True,8
13,浙上虞货0702,浙上虞货0702,8,8,True,8
14,浙余杭货01697ZHEYUHANGHUO,浙余杭货01697ZHEYUHANGHUO,21,21,True,21
15,浙余杭货02039ZHEYUHANGHUO,浙余杭货02039ZHEYUHANGHUO,21,21,True,21
16,浙桐庐货00179ZHETONGLUHUO,浙桐庐货00179ZHETONGLUHUO,21,21,True,21
17,浙桐庐货00388ZHETONGLUHUO,浙桐庐货00388ZHETONGLUHUO,21,21,True,21
18,浙萧山货13178ZHEXIAOSHANHUO,浙萧山货13178ZHEXIAOSHANHUO,23,23,True,23
19,浙萧山货23653ZHEXIAOSHANHUO,浙萧山货23653ZHEXIAOSHANHUO,23,23,True,23
20,浙萧山货25139,浙萧山货25139,9,9,True,9
21,浙诸暨货0151ZHEZHUJIHUO,浙诸暨货0151ZHEZHUJIHUO,19,19,True,19
22,浙诸暨货0780,浙诸暨货0780,8,8,True,8
23,浙诸暨货1035,浙诸暨货1035,8,8,True,8
24,浙诸暨货1056,浙诸暨货1056,8,8,True,8
25,浙诸暨货1098,浙诸暨货1098,8,8,True,8
26,浙诸暨货1177,浙诸暨货1177,8,8,True,8
27,浙诸暨货1236,浙诸暨货1236,8,8,True,8
28,浙长兴货3277ZHECHANGXINGHUO,浙长兴货3277ZHECHANGXINGHUO,23,23,True,23
29,皖兴隆1666WANXINGLONG,皖兴隆1666WANXINGLONG,18,18,True,18
30,皖利辛货2988WANLIXINHUO,皖利辛货2988WANLIXINHUO,19,19,True,19
31,皖周庄998WANZHOUZHUANG,皖周庄998WANZHOUZHUANG,19,19,True,19
32,皖太运978WANTAIYUN,皖太运978WANTAIYUN,15,15,True,15
33,皖寿县货3662WANSHOUXIANHUO,皖寿县货3662WANSHOUXIANHUO,22,22,True,22
34,皖巨龙198WANJULONG,皖巨龙198WANJULONG,15,15,True,15
35,皖民生268WANMINSHENG,皖民生268WANMINSHENG,17,17,True,17
36,皖霍山货0518WANHUOSHANHUO,皖霍山货0518WANHUOSHANHUO,21,21,True,23
37,芜湖海联5166WUHUHAILIAN,芜湖联51666WUHUHAILIAN,19,19,False,17
38,融航机1889RONGHANGJI,融航机1889RONGHANGJI,17,17,True,17
39,豫周口货1882YUZHOUKOUHUO,豫周口货1882YUZHOUKOUHUO,20,20,True,20
40,豫周口货3193YUZHOUKOUHUO,豫周口货3193YUZHOUKOUHUO,20,20,True,20
41,豫周泓翔081YUZHOUHONGXIANG,豫周泓翔081YUZHOUHONGXIANG,22,22,True,18
42,豫周泓翔1361YUZHOUHONGXIANG,豫周泓翔1361YUZHOUHONGXIANG,23,23,True,23
43,豫周泓翔1361YUZHOUHONGXIANG,豫周泓翔1361YUZHOUHONGXIANG,23,23,True,25
44,豫昌盛687YUCHANGSHENG,豫昌盛687YUCHANGSHENG,18,18,True,18
45,远顺6688YUANSHUN,远顺6688YUANSHUN,14,14,True,14
46,华发212HUAFA,华发212HUAFA,10,10,True,10
47,宣城XUANCHENG,宣城XUANCHENG,11,11,True,11
48,宣城XUANCHENG,宣城XUANCHENG,11,11,True,11
49,徐州XUZHOU,州徐XUZHOU,8,8,False,8
50,徐货9313XUHUO,徐货9313XUHUO,11,11,True,11
51,江淮1088JIANGHUAI,江淮1088JIANGHUAI,15,15,True,15
