model_tag,subset_name,subset_value,num_samples,accuracy,replace_total,insert_total,delete_total,replace_share
baseline_raw,layout,single,105,0.1619047619047619,193,18,19,0.8391304347826087
baseline_raw,len_bucket_focus,9-12,20,0.15,37,1,7,0.8222222222222222
baseline_raw,len_bucket_focus,other,85,0.16470588235294117,156,17,12,0.8432432432432433
baseline_raw,long_21p,false,87,0.19540229885057472,161,18,15,0.8298969072164949
baseline_raw,long_21p,true,18,0.0,32,0,4,0.8888888888888888
baseline_raw,oov_group,OOV,67,0.2537313432835821,109,8,14,0.8320610687022901
baseline_raw,oov_group,non-OOV,38,0.0,84,10,5,0.8484848484848485
baseline_raw,quality_group,easy,67,0.22388059701492538,102,8,6,0.8793103448275862
baseline_raw,quality_group,hard,38,0.05263157894736842,91,10,13,0.7982456140350878
m04_final_raw,layout,single,105,0.0,198,4,25,0.8722466960352423
m04_final_raw,len_bucket_focus,9-12,20,0.0,41,0,7,0.8541666666666666
m04_final_raw,len_bucket_focus,other,85,0.0,157,4,18,0.8770949720670391
m04_final_raw,long_21p,false,87,0.0,162,4,21,0.8663101604278075
m04_final_raw,long_21p,true,18,0.0,36,0,4,0.9
m04_final_raw,oov_group,OOV,67,0.0,114,2,18,0.8507462686567164
m04_final_raw,oov_group,non-OOV,38,0.0,84,2,7,0.9032258064516129
m04_final_raw,quality_group,easy,67,0.0,116,2,16,0.8656716417910447
m04_final_raw,quality_group,hard,38,0.0,82,2,9,0.8817204301075269
m04_glyph,layout,single,105,0.0,200,4,25,0.8733624454148472
m04_glyph,len_bucket_focus,9-12,20,0.0,40,0,7,0.851063829787234
m04_glyph,len_bucket_focus,other,85,0.0,160,4,18,0.8791208791208791
m04_glyph,long_21p,false,87,0.0,162,4,21,0.8663101604278075
m04_glyph,long_21p,true,18,0.0,38,0,4,0.9047619047619048
m04_glyph,oov_group,OOV,67,0.0,115,2,18,0.8518518518518519
m04_glyph,oov_group,non-OOV,38,0.0,85,2,7,0.9042553191489362
m04_glyph,quality_group,easy,67,0.0,119,2,16,0.8686131386861314
m04_glyph,quality_group,hard,38,0.0,81,2,9,0.8804347826086957
m04_joint,layout,single,105,0.009523809523809525,198,4,25,0.8722466960352423
m04_joint,len_bucket_focus,9-12,20,0.0,41,0,7,0.8541666666666666
m04_joint,len_bucket_focus,other,85,0.011764705882352941,157,4,18,0.8770949720670391
m04_joint,long_21p,false,87,0.011494252873563218,161,4,21,0.8655913978494624
m04_joint,long_21p,true,18,0.0,37,0,4,0.9024390243902439
m04_joint,oov_group,OOV,67,0.014925373134328358,114,2,18,0.8507462686567164
m04_joint,oov_group,non-OOV,38,0.0,84,2,7,0.9032258064516129
m04_joint,quality_group,easy,67,0.014925373134328358,117,2,16,0.8666666666666667
m04_joint,quality_group,hard,38,0.0,81,2,9,0.8804347826086957
m04_substitution,layout,single,105,0.009523809523809525,199,4,25,0.8728070175438597
m04_substitution,len_bucket_focus,9-12,20,0.0,41,0,7,0.8541666666666666
m04_substitution,len_bucket_focus,other,85,0.011764705882352941,158,4,18,0.8777777777777778
m04_substitution,long_21p,false,87,0.011494252873563218,162,4,21,0.8663101604278075
m04_substitution,long_21p,true,18,0.0,37,0,4,0.9024390243902439
m04_substitution,oov_group,OOV,67,0.014925373134328358,115,2,18,0.8518518518518519
m04_substitution,oov_group,non-OOV,38,0.0,84,2,7,0.9032258064516129
m04_substitution,quality_group,easy,67,0.014925373134328358,118,2,16,0.8676470588235294
m04_substitution,quality_group,hard,38,0.0,81,2,9,0.8804347826086957
