eval_scope,model_tag,subset_name,subset_value,samples,accuracy,replace_total,insert_total,delete_total
pilot_focus_105,baseline_raw,quality_group,hard,38,0.05263157894736842,91,10,13
pilot_focus_105,baseline_raw,quality_group,easy,5,0.2,12,1,2
pilot_focus_105,baseline_raw,layout,single,105,0.1619047619047619,193,18,19
pilot_focus_105,baseline_raw,layout,multi,0,0.0,0,0,0
pilot_focus_105,baseline_raw,layout,vertical,0,0.0,0,0,0
pilot_focus_105,baseline_raw,oov_group,OOV,67,0.2537313432835821,109,8,14
pilot_focus_105,baseline_raw,oov_group,non-OOV,38,0.0,84,10,5
pilot_focus_105,baseline_raw,long_21p,true,18,0.0,32,0,4
pilot_focus_105,baseline_raw,len_bucket,9-12,20,0.15,37,1,7
pilot_focus_105,m04_final_raw,quality_group,hard,38,0.0,82,2,9
pilot_focus_105,m04_final_raw,quality_group,easy,5,0.0,13,0,1
pilot_focus_105,m04_final_raw,layout,single,105,0.0,198,4,25
pilot_focus_105,m04_final_raw,layout,multi,0,0.0,0,0,0
pilot_focus_105,m04_final_raw,layout,vertical,0,0.0,0,0,0
pilot_focus_105,m04_final_raw,oov_group,OOV,67,0.0,114,2,18
pilot_focus_105,m04_final_raw,oov_group,non-OOV,38,0.0,84,2,7
pilot_focus_105,m04_final_raw,long_21p,true,18,0.0,36,0,4
pilot_focus_105,m04_final_raw,len_bucket,9-12,20,0.0,41,0,7
pilot_focus_105,m06_sub_train,quality_group,hard,38,0.05263157894736842,84,18,12
pilot_focus_105,m06_sub_train,quality_group,easy,5,0.2,9,0,0
pilot_focus_105,m06_sub_train,layout,single,105,0.06666666666666667,195,20,44
pilot_focus_105,m06_sub_train,layout,multi,0,0.0,0,0,0
pilot_focus_105,m06_sub_train,layout,vertical,0,0.0,0,0,0
pilot_focus_105,m06_sub_train,oov_group,OOV,67,0.08955223880597014,113,13,19
pilot_focus_105,m06_sub_train,oov_group,non-OOV,38,0.02631578947368421,82,7,25
pilot_focus_105,m06_sub_train,long_21p,true,18,0.05555555555555555,32,0,23
pilot_focus_105,m06_sub_train,len_bucket,9-12,20,0.05,43,11,6
pilot_focus_105,m06_joint_train,quality_group,hard,38,0.07894736842105263,86,20,11
pilot_focus_105,m06_joint_train,quality_group,easy,5,0.2,9,0,0
pilot_focus_105,m06_joint_train,layout,single,105,0.08571428571428572,192,22,43
pilot_focus_105,m06_joint_train,layout,multi,0,0.0,0,0,0
pilot_focus_105,m06_joint_train,layout,vertical,0,0.0,0,0,0
pilot_focus_105,m06_joint_train,oov_group,OOV,67,0.1044776119402985,108,13,18
pilot_focus_105,m06_joint_train,oov_group,non-OOV,38,0.05263157894736842,84,9,25
pilot_focus_105,m06_joint_train,long_21p,true,18,0.05555555555555555,32,0,23
pilot_focus_105,m06_joint_train,len_bucket,9-12,20,0.05,43,11,5
