stage_group,stage_variant,source_model_tag,eval_scope,note,samples,accuracy,replace_total,insert_total,delete_total,oov_accuracy,single_accuracy,hard_accuracy,long_21p_accuracy
reference,baseline,baseline_raw,focus_pilot_105,focus pilot,105,0.1619047619047619,193,18,19,0.2537313432835821,0.1619047619047619,0.0526315789473684,0.0
reference,m04_final,m04_final_raw,focus_pilot_105,focus pilot,105,0.0,198,4,25,0.0,0.0,0.0,0.0
p1,p1_substitution_inference_only,m04_substitution,focus_pilot_105,focus pilot,105,0.0095238095238095,199,4,25,0.0149253731343283,0.0095238095238095,0.0,0.0
p1,p1_joint_inference_only,m04_joint,focus_pilot_105,focus pilot,105,0.0095238095238095,198,4,25,0.0149253731343283,0.0095238095238095,0.0,0.0
p2a,p2a_sub_train,m06_sub_train,pilot_focus_105,focus pilot,105,0.0666666666666666,195,20,44,0.0895522388059701,0.0666666666666666,0.0526315789473684,0.0555555555555555
p2a,p2a_joint_train,m06_joint_train,pilot_focus_105,focus pilot,105,0.0857142857142857,192,22,43,0.1044776119402985,0.0857142857142857,0.0789473684210526,0.0555555555555555
reference,baseline,baseline_raw,full_unified_6884,full unified,6884,0.8282975014526438,2276,2240,1920,0.6154324828873677,0.8197845249755142,0.6293359762140733,0.7819790828640386
reference,m04_final,m04_final_raw,full_unified_6884,full unified,6884,0.8290238233585125,2347,2394,1702,0.6148102053515868,0.8237022526934378,0.6372646184340932,0.7884151246983105
p2a,p2a_sub_train,m06_sub_train,full_unified_6884,full unified,6884,0.8194363742010459,2410,2278,1938,0.6129433727442439,0.8031341821743389,0.6144697720515362,0.7851971037811746
p2a,p2a_joint_train,m06_joint_train,full_unified_6884,full unified,6884,0.8187100522951772,2420,2349,1866,0.6085874299937772,0.8046033300685602,0.6095143706640238,0.7811745776347546
