model_tag,subset_name,subset_value,num_samples,accuracy,avg_gt_len,avg_pred_len,empty_prediction_ratio,replace_total,insert_total,delete_total,replace_share
baseline_ar,quality,easy,1572,0.9402035623409669,12.12150127226463,12.170483460559796,0.0,111,173,96,0.29210526315789476
baseline_ar,quality,hard,1009,0.6293359762140733,15.53617443012884,15.496531219028741,0.0,709,891,931,0.28012643224022127
baseline_ar,layout,single,2042,0.8197845249755142,10.14152791380999,10.30411361410382,0.0,525,641,309,0.3559322033898305
baseline_ar,layout,multi,3847,0.7977644918118014,16.71718221991162,16.698466337405772,0.0,1197,1841,1913,0.2417693395273682
baseline_ar,layout,vertical,995,0.963819095477387,9.844221105527637,9.904522613065327,0.0,36,124,64,0.16071428571428573
baseline_ar,vocabulary,IV,5277,0.893121091529278,13.240667045669888,13.243509569831344,0.0,859,1059,1044,0.2900067521944632
baseline_ar,vocabulary,OOV,1607,0.6154324828873677,15.522090852520224,15.711885500933416,0.0,899,1547,1242,0.24376355748373102
baseline_ar,long_21+,true,1243,0.7819790828640386,24.21399839098954,23.506838294448915,0.0,445,354,1233,0.21899606299212598
baseline_ar,long_21+,false,5641,0.8385038113809609,11.472611239141996,11.68516220528275,0.0,1313,2252,1053,0.28432221741013425
baseline_ar,len_bucket,9-12,1638,0.8174603174603174,10.394993894993895,10.875457875457876,0.0,448,978,191,0.27705627705627706
baseline_ar,len_bucket,21+,1243,0.7819790828640386,24.21399839098954,23.506838294448915,0.0,445,354,1233,0.21899606299212598
s3_bilstm,quality,easy,1572,0.0,12.12150127226463,0.0,1.0,0,0,19055,0.0
s3_bilstm,quality,hard,1009,0.0,15.53617443012884,0.0,1.0,0,0,15676,0.0
s3_bilstm,layout,single,2042,0.0,10.14152791380999,0.0,1.0,0,0,20709,0.0
s3_bilstm,layout,multi,3847,0.0,16.71718221991162,0.0,1.0,0,0,64311,0.0
s3_bilstm,layout,vertical,995,0.0,9.844221105527637,0.0,1.0,0,0,9795,0.0
s3_bilstm,vocabulary,IV,5277,0.0,13.240667045669888,0.0,1.0,0,0,69871,0.0
s3_bilstm,vocabulary,OOV,1607,0.0,15.522090852520224,0.0,1.0,0,0,24944,0.0
s3_bilstm,long_21+,true,1243,0.0,24.21399839098954,0.0,1.0,0,0,30098,0.0
s3_bilstm,long_21+,false,5641,0.0,11.472611239141996,0.0,1.0,0,0,64717,0.0
s3_bilstm,len_bucket,9-12,1638,0.0,10.394993894993895,0.0,1.0,0,0,17027,0.0
s3_bilstm,len_bucket,21+,1243,0.0,24.21399839098954,0.0,1.0,0,0,30098,0.0
